id,date,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
2025700080,20140710T000000,265000,3,2.5,1530,6000,2,0,0,4,7,1530,0,1991,0,98038,47.3487,-122.036,1360,6000
7576700131,20140714T000000,850000,3,2.25,2220,3707,2,0,0,4,8,1620,600,1919,0,98122,47.617,-122.286,2030,4850
9482700075,20150112T000000,8.00E+05,4,3.5,2370,3302,2,0,0,3,8,1610,760,1926,2014,98103,47.684,-122.341,2170,3800
3343301343,20141120T000000,880000,5,3.5,4600,8764,2,0,0,3,10,3180,1420,2007,0,98006,47.5491,-122.19,3210,9431
4151800375,20141204T000000,660000,2,1,960,6263,1,0,1,4,6,960,0,1942,0,98033,47.6646,-122.202,1460,6054
8024202520,20140509T000000,445000,2,2,1150,6634,1,0,0,3,7,860,290,1940,0,98115,47.7001,-122.309,1680,6892
7202280580,20150106T000000,653000,4,2.5,3120,5137,2,0,0,3,7,3120,0,2003,0,98053,47.6842,-122.04,2755,5137
5651010150,20150510T000000,435000,3,2.5,1930,5790,2,0,0,4,7,1930,0,1988,0,98011,47.7733,-122.17,1790,4901
2337000150,20150220T000000,230000,3,1.5,1900,9630,1,0,0,3,8,1900,0,1967,0,98023,47.3352,-122.344,2010,9630
573000685,20140717T000000,805000,2,1.75,1550,6000,1,0,1,3,7,1550,0,1920,0,98199,47.6712,-122.409,2360,6000
2695600195,20141124T000000,379500,2,1,960,5096,1,0,0,5,7,960,0,1949,0,98126,47.5314,-122.378,1760,4488
1118000301,20141219T000000,2890000,4,4,5780,7173,2,0,0,3,11,4130,1650,2008,0,98112,47.6374,-122.288,3930,7994
2424059018,20140612T000000,1070000,4,2.5,3270,35445,2,0,0,3,11,3270,0,1989,0,98006,47.548,-122.121,4180,32130
7844200120,20150413T000000,340000,4,2.5,3020,8750,1,0,0,3,8,1710,1310,1960,0,98188,47.4298,-122.29,1900,8750
1338800491,20141021T000000,799500,4,2.5,2760,5750,2,0,0,3,8,2760,0,1993,0,98112,47.627,-122.303,2760,5390
3317500070,20150408T000000,1135000,4,2.75,3840,10004,1,0,2,4,9,2110,1730,1963,0,98040,47.5606,-122.225,3500,12118
3644100095,20150205T000000,352900,2,1.5,1240,1892,2,0,0,3,7,1240,0,2002,0,98144,47.5915,-122.295,1220,1740
993001961,20140709T000000,374950,3,2.25,1390,1484,3,0,0,3,8,1390,0,2007,0,98103,47.6912,-122.343,1250,1087
2895110062,20141202T000000,249000,3,1,1752,14626,2,0,2,3,8,1752,0,2005,0,98032,47.3755,-122.278,1800,9000
8732020670,20150320T000000,4.00E+05,3,1.75,1830,9620,1,0,0,4,8,1830,0,1978,0,98023,47.3123,-122.389,1990,8280
8943600020,20150426T000000,260000,3,2.25,1413,3403,2,0,0,3,8,1413,0,2009,0,98031,47.4196,-122.193,1763,3719
6398000011,20140602T000000,789000,3,3,3740,39640,2,0,2,3,10,3740,0,1991,0,98070,47.4036,-122.462,2930,26136
2902200874,20150410T000000,920000,5,3,2230,4400,2,0,0,3,7,1730,500,1913,0,98102,47.6404,-122.325,1280,1800
5016002180,20140708T000000,780000,2,2.5,2560,2500,2,0,0,5,8,1690,870,1901,0,98112,47.6233,-122.3,1890,5000
9197800010,20141017T000000,1460000,4,3.5,4200,14353,2,0,2,3,12,3640,560,1996,0,98040,47.5331,-122.217,3750,16316
4136950180,20140926T000000,262000,3,2.5,1700,6200,2,0,0,3,8,1700,0,1997,0,98092,47.2621,-122.221,1720,6205
2200500350,20140812T000000,5.00E+05,2,1,1640,14100,1,0,0,4,7,1140,500,1954,0,98006,47.5712,-122.143,1520,13527
5250300035,20141008T000000,910000,4,1.5,2890,9000,2,0,4,3,8,2090,800,1939,0,98118,47.5682,-122.274,2550,8400
425000065,20141021T000000,180000,2,1,1150,5695,1,0,0,4,6,1150,0,1958,0,98056,47.4989,-122.171,1150,5695
4139910250,20150210T000000,1525000,4,3.75,5850,35070,2,0,0,4,12,4410,1440,1990,0,98006,47.5485,-122.124,4830,36200
1814800060,20150220T000000,965000,4,3.5,3290,5559,1.5,0,0,3,8,2290,1000,1906,2004,98103,47.6788,-122.346,1790,6000
5379800040,20140813T000000,275000,2,1.75,2090,11317,1,0,0,5,7,1090,1000,1931,0,98188,47.4594,-122.279,1940,11317
7579200765,20141006T000000,439000,2,2.5,1350,944,2,0,0,3,9,870,480,2004,0,98116,47.5591,-122.385,1440,1350
622059031,20140604T000000,759600,4,1,1540,115434,1.5,0,0,4,7,1540,0,1923,0,98031,47.4163,-122.22,2027,23522
4137010590,20140514T000000,420000,4,2.5,3040,24123,2,0,0,3,8,3040,0,1999,0,98092,47.2667,-122.216,2420,10026
3543900418,20140515T000000,580050,3,2.5,2360,4638,2,0,3,3,9,2360,0,1996,0,98115,47.6837,-122.321,1620,4638
1370803180,20140808T000000,1776000,3,3.25,3230,7800,2,0,3,3,10,3230,0,2005,0,98199,47.6348,-122.403,3030,6600
2320069083,20141125T000000,283000,3,2,1820,15068,2,0,2,3,7,1520,300,1920,2014,98022,47.2103,-121.999,1490,9589
1433100010,20150128T000000,312000,4,1,1730,8706,1,0,0,4,7,1010,720,1962,0,98058,47.4586,-122.175,1369,8418
722069057,20150102T000000,408000,3,1.75,1600,313672,1,0,0,4,7,1600,0,1960,0,98058,47.4129,-122.08,1780,90860
9264030040,20150430T000000,425000,3,2.5,2650,12247,2,0,0,3,9,2650,0,2002,0,98001,47.3185,-122.259,2920,8965
8651540040,20140718T000000,549000,3,2.25,1920,10961,2,0,0,3,8,1920,0,1981,0,98074,47.6432,-122.057,2000,10706
